time_step,building_id,charger_id,connected_ev,connected_ev_soc,action,constraint_violations
16,3,charger_12_1,,,-0.0044,['Discharge During Idle']
16,4,charger_15_1,,,-0.0044,['Discharge During Idle']
17,1,charger_1_1,,,-0.0044,['Discharge During Idle']
17,2,charger_10_1,EV_3,45.92535555707837,-0.0044,['Charging Power Violation']
17,3,charger_12_1,,,-0.0044,['Discharge During Idle']
17,4,charger_15_1,,,-0.0044,['Discharge During Idle']
18,1,charger_1_1,,,-0.0044,['Discharge During Idle']
18,2,charger_10_1,EV_3,45.615851142835886,-0.0044,['Charging Power Violation']
18,3,charger_12_1,,,-0.0044,['Discharge During Idle']
18,4,charger_15_1,,,-0.0044,['Discharge During Idle']
19,1,charger_1_1,,,-0.024,['Discharge During Idle']
19,2,charger_10_1,EV_3,45.308203755078864,-0.024,['Charging Power Violation']
19,3,charger_12_1,,,-0.024,['Discharge During Idle']
19,4,charger_15_1,,,-0.024,['Discharge During Idle']
20,1,charger_1_1,,,-0.024,['Discharge During Idle']
20,2,charger_10_1,EV_3,44.85116027309379,-0.024,['Charging Power Violation']
20,3,charger_12_1,EV_4,14.707329206433071,-0.024,['Charging Power Violation']
20,4,charger_15_1,,,-0.024,['Discharge During Idle']
21,1,charger_1_1,,,-0.024,['Discharge During Idle']
21,2,charger_10_1,EV_3,44.39685905200062,-0.024,['Charging Power Violation']
21,3,charger_12_1,EV_4,16.20599511469815,-0.024,['Charging Power Violation']
21,4,charger_15_1,,,-0.024,['Discharge During Idle']
22,1,charger_1_1,,,-0.024,['Discharge During Idle']
22,2,charger_10_1,EV_3,43.94528363823402,-0.024,['Charging Power Violation']
22,3,charger_12_1,EV_4,15.923564884555356,-0.024,['Charging Power Violation']
22,4,charger_15_1,,,-0.024,['Discharge During Idle']
23,1,charger_1_1,,,0.034,['Charging with No EV Connected']
23,2,charger_10_1,EV_3,43.49641767695001,0.034,[]
23,3,charger_12_1,EV_4,15.642829235793418,0.034,[]
23,4,charger_15_1,,,0.034,['Charging with No EV Connected']
24,1,charger_1_1,,,0.034,['Charging with No EV Connected']
24,2,charger_10_1,EV_3,43.45319675429702,0.034,[]
24,3,charger_12_1,EV_4,15.766729843787363,0.034,[]
24,4,charger_15_1,,,0.034,['Charging with No EV Connected']
25,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
25,2,charger_10_1,EV_3,43.41023515717994,0.05532,[]
25,3,charger_12_1,EV_4,15.889887048133346,0.05532,[]
25,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
26,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
26,2,charger_10_1,EV_3,43.50407814371244,0.05532,[]
26,3,charger_12_1,EV_4,16.148852123320125,0.05532,[]
26,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
27,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
27,2,charger_10_1,EV_3,43.59735807232575,0.05532,[]
27,3,charger_12_1,EV_4,16.406263408055786,0.05532,[]
27,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
28,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
28,2,charger_10_1,EV_3,43.69007832136737,0.05532,[]
28,3,charger_12_1,EV_4,16.662130225083033,0.05532,[]
28,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
29,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
29,2,charger_10_1,EV_3,43.78224224891475,0.05532,[]
29,3,charger_12_1,EV_4,16.91646184120811,0.05532,[]
29,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
30,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
30,2,charger_10_1,EV_3,43.87385319289684,0.05532,[]
30,3,charger_12_1,EV_4,17.169267467636438,0.05532,[]
30,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
31,1,charger_1_1,,,-0.02,['Discharge During Idle']
31,2,charger_10_1,EV_3,43.96491447121504,-0.02,['Charging Power Violation']
31,3,charger_12_1,EV_4,17.4205562603062,-0.02,['Charging Power Violation']
31,4,charger_15_1,,,-0.02,['Discharge During Idle']
32,1,charger_1_1,,,-0.02,['Discharge During Idle']
32,2,charger_10_1,EV_3,43.54679643484224,-0.02,['Charging Power Violation']
32,3,charger_12_1,EV_4,17.16170437319886,-0.02,['Charging Power Violation']
32,4,charger_15_1,,,-0.02,['Discharge During Idle']
33,1,charger_1_1,,,-0.02,['Discharge During Idle']
33,2,charger_10_1,EV_3,43.13118710668768,-0.02,['Charging Power Violation']
33,3,charger_12_1,EV_4,16.90440559741416,-0.02,['Charging Power Violation']
33,4,charger_15_1,,,-0.02,['Discharge During Idle']
34,1,charger_1_1,,,-0.02,['Discharge During Idle']
34,2,charger_10_1,EV_3,42.71807143450205,-0.02,['Charging Power Violation']
34,3,charger_12_1,EV_4,16.648650614284172,-0.02,['Charging Power Violation']
34,4,charger_15_1,,,-0.02,['Discharge During Idle']
35,1,charger_1_1,,,-0.02,['Discharge During Idle']
35,2,charger_10_1,EV_3,42.30743445634953,-0.02,['Charging Power Violation']
35,3,charger_12_1,EV_4,16.394430161052963,-0.02,['Charging Power Violation']
35,4,charger_15_1,,,-0.02,['Discharge During Idle']
36,1,charger_1_1,,,-0.02,['Discharge During Idle']
36,2,charger_10_1,EV_3,41.89926130006593,-0.02,['Charging Power Violation']
36,3,charger_12_1,EV_4,16.141735030541142,-0.02,['Charging Power Violation']
36,4,charger_15_1,,,-0.02,['Discharge During Idle']
37,1,charger_1_1,,,-0.02,['Discharge During Idle']
37,2,charger_10_1,EV_3,41.49353718272003,-0.02,['Charging Power Violation']
37,3,charger_12_1,EV_4,15.89055607081239,-0.02,['Charging Power Violation']
37,4,charger_15_1,,,-0.02,['Discharge During Idle']
38,1,charger_1_1,,,-0.02,['Discharge During Idle']
38,2,charger_10_1,EV_3,41.090247410078206,-0.02,['Charging Power Violation']
38,3,charger_12_1,,,-0.02,['Discharge During Idle']
38,4,charger_15_1,,,-0.02,['Discharge During Idle']
39,1,charger_1_1,,,-0.02,['Discharge During Idle']
39,2,charger_10_1,EV_3,40.68937737607223,-0.02,['Charging Power Violation']
39,3,charger_12_1,,,-0.02,['Discharge During Idle']
39,4,charger_15_1,,,-0.02,['Discharge During Idle']
40,1,charger_1_1,,,-0.0044,['Discharge During Idle']
40,2,charger_10_1,EV_3,40.29091256227029,-0.0044,['Charging Power Violation']
40,3,charger_12_1,,,-0.0044,['Discharge During Idle']
40,4,charger_15_1,,,-0.0044,['Discharge During Idle']
41,1,charger_1_1,,,-0.0044,['Discharge During Idle']
41,2,charger_10_1,EV_3,40.01521480599666,-0.0044,['Charging Power Violation']
41,3,charger_12_1,,,-0.0044,['Discharge During Idle']
41,4,charger_15_1,,,-0.0044,['Discharge During Idle']
42,1,charger_1_1,,,-0.0044,['Discharge During Idle']
42,2,charger_10_1,EV_3,39.741171236260676,-0.0044,['Charging Power Violation']
42,3,charger_12_1,,,-0.0044,['Discharge During Idle']
42,4,charger_15_1,,,-0.0044,['Discharge During Idle']
43,1,charger_1_1,,,-0.024,['Discharge During Idle']
43,2,charger_10_1,EV_3,39.4687719279431,-0.024,['Charging Power Violation']
43,3,charger_12_1,,,-0.024,['Discharge During Idle']
43,4,charger_15_1,,,-0.024,['Discharge During Idle']
44,1,charger_1_1,,,-0.024,['Discharge During Idle']
44,2,charger_10_1,EV_3,39.04676503692084,-0.024,['Charging Power Violation']
44,3,charger_12_1,EV_4,18.57630594024487,-0.024,['Charging Power Violation']
44,4,charger_15_1,,,-0.024,['Discharge During Idle']
45,1,charger_1_1,,,-0.024,['Discharge During Idle']
45,2,charger_10_1,EV_3,38.62729018724471,-0.024,['Charging Power Violation']
45,3,charger_12_1,EV_4,17.86188706063437,-0.024,['Charging Power Violation']
45,4,charger_15_1,,,-0.024,['Discharge During Idle']
46,1,charger_1_1,,,-0.024,['Discharge During Idle']
46,2,charger_10_1,EV_3,38.21033218666664,-0.024,['Charging Power Violation']
46,3,charger_12_1,EV_4,17.569521478815957,-0.024,['Charging Power Violation']
46,4,charger_15_1,,,-0.024,['Discharge During Idle']
47,1,charger_1_1,,,0.034,['Charging with No EV Connected']
47,2,charger_10_1,EV_3,37.79587593409204,0.034,[]
47,3,charger_12_1,EV_4,17.278910090488456,0.034,[]
47,4,charger_15_1,,,0.034,['Charging with No EV Connected']
48,1,charger_1_1,,,0.034,['Charging with No EV Connected']
48,2,charger_10_1,EV_3,37.78685826189619,0.034,[]
48,3,charger_12_1,EV_4,17.392994213354232,0.034,[]
48,4,charger_15_1,,,0.034,['Charging with No EV Connected']
49,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
49,2,charger_10_1,EV_3,37.77789469573352,0.05532,[]
49,3,charger_12_1,EV_4,17.506393831482814,0.05532,[]
49,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
50,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
50,2,charger_10_1,EV_3,37.9055317250347,0.05532,[]
50,3,charger_12_1,EV_4,17.7556598659695,0.05532,[]
50,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
51,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
51,2,charger_10_1,EV_3,38.03240293216007,0.05532,[]
51,3,charger_12_1,EV_4,18.003430304249257,0.05532,[]
51,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
52,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
52,2,charger_10_1,EV_3,38.15851291204269,0.05532,[]
52,3,charger_12_1,EV_4,18.249714119899338,0.05532,[]
52,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
53,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
53,2,charger_10_1,EV_3,38.283866232046016,0.05532,[]
53,3,charger_12_1,EV_4,18.494520232655518,0.05532,[]
53,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
54,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
54,2,charger_10_1,EV_3,38.40846743212932,0.05532,[]
54,3,charger_12_1,EV_4,18.73785750873516,0.05532,[]
54,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
55,1,charger_1_1,,,-0.02,['Discharge During Idle']
55,2,charger_10_1,,,-0.02,['Discharge During Idle']
55,3,charger_12_1,EV_4,18.979734761158326,-0.02,['Charging Power Violation']
55,4,charger_15_1,,,-0.02,['Discharge During Idle']
56,1,charger_1_1,,,-0.02,['Discharge During Idle']
56,2,charger_10_1,,,-0.02,['Discharge During Idle']
56,3,charger_12_1,,,-0.02,['Discharge During Idle']
56,4,charger_15_1,,,-0.02,['Discharge During Idle']
57,1,charger_1_1,,,-0.02,['Discharge During Idle']
57,2,charger_10_1,,,-0.02,['Discharge During Idle']
57,3,charger_12_1,,,-0.02,['Discharge During Idle']
57,4,charger_15_1,,,-0.02,['Discharge During Idle']
58,1,charger_1_1,,,-0.02,['Discharge During Idle']
58,2,charger_10_1,,,-0.02,['Discharge During Idle']
58,3,charger_12_1,,,-0.02,['Discharge During Idle']
58,4,charger_15_1,,,-0.02,['Discharge During Idle']
59,1,charger_1_1,,,-0.02,['Discharge During Idle']
59,2,charger_10_1,,,-0.02,['Discharge During Idle']
59,3,charger_12_1,,,-0.02,['Discharge During Idle']
59,4,charger_15_1,,,-0.02,['Discharge During Idle']
60,1,charger_1_1,,,-0.02,['Discharge During Idle']
60,2,charger_10_1,,,-0.02,['Discharge During Idle']
60,3,charger_12_1,,,-0.02,['Discharge During Idle']
60,4,charger_15_1,,,-0.02,['Discharge During Idle']
61,1,charger_1_1,,,-0.02,['Discharge During Idle']
61,2,charger_10_1,,,-0.02,['Discharge During Idle']
61,3,charger_12_1,,,-0.02,['Discharge During Idle']
61,4,charger_15_1,,,-0.02,['Discharge During Idle']
62,1,charger_1_1,,,-0.02,['Discharge During Idle']
62,2,charger_10_1,,,-0.02,['Discharge During Idle']
62,3,charger_12_1,,,-0.02,['Discharge During Idle']
62,4,charger_15_1,,,-0.02,['Discharge During Idle']
63,1,charger_1_1,,,-0.02,['Discharge During Idle']
63,2,charger_10_1,,,-0.02,['Discharge During Idle']
63,3,charger_12_1,,,-0.02,['Discharge During Idle']
63,4,charger_15_1,,,-0.02,['Discharge During Idle']
64,1,charger_1_1,,,-0.0044,['Discharge During Idle']
64,2,charger_10_1,,,-0.0044,['Discharge During Idle']
64,3,charger_12_1,,,-0.0044,['Discharge During Idle']
64,4,charger_15_1,,,-0.0044,['Discharge During Idle']
65,1,charger_1_1,,,-0.0044,['Discharge During Idle']
65,2,charger_10_1,EV_3,27.025090342920386,-0.0044,['Charging Power Violation']
65,3,charger_12_1,,,-0.0044,['Discharge During Idle']
65,4,charger_15_1,,,-0.0044,['Discharge During Idle']
66,1,charger_1_1,,,-0.0044,['Discharge During Idle']
66,2,charger_10_1,EV_3,57.26106295969605,-0.0044,['Charging Power Violation']
66,3,charger_12_1,EV_4,16.350039244444133,-0.0044,['Charging Power Violation']
66,4,charger_15_1,,,-0.0044,['Discharge During Idle']
67,1,charger_1_1,,,-0.024,['Discharge During Idle']
67,2,charger_10_1,EV_3,56.88354430103786,-0.024,['Charging Power Violation']
67,3,charger_12_1,EV_4,21.124229524281137,-0.024,['Charging Power Violation']
67,4,charger_15_1,,,-0.024,['Discharge During Idle']
68,1,charger_1_1,,,-0.024,['Discharge During Idle']
68,2,charger_10_1,EV_3,56.357048775777024,-0.024,['Charging Power Violation']
68,3,charger_12_1,EV_4,20.812289887680844,-0.024,['Charging Power Violation']
68,4,charger_15_1,,,-0.024,['Discharge During Idle']
69,1,charger_1_1,,,-0.024,['Discharge During Idle']
69,2,charger_10_1,EV_3,55.83371222366776,-0.024,['Charging Power Violation']
69,3,charger_12_1,EV_4,20.502221888900156,-0.024,['Charging Power Violation']
69,4,charger_15_1,,,-0.024,['Discharge During Idle']
70,1,charger_1_1,,,-0.024,['Discharge During Idle']
70,2,charger_10_1,EV_3,55.31351569087115,-0.024,['Charging Power Violation']
70,3,charger_12_1,EV_4,20.19401429811215,-0.024,['Charging Power Violation']
70,4,charger_15_1,,,-0.024,['Discharge During Idle']
71,1,charger_1_1,,,0.034,['Charging with No EV Connected']
71,2,charger_10_1,EV_3,54.79644033727132,0.034,[]
71,3,charger_12_1,EV_4,19.887655952868872,0.034,[]
71,4,charger_15_1,,,0.034,['Charging with No EV Connected']
72,1,charger_1_1,,,0.034,['Charging with No EV Connected']
72,2,charger_10_1,EV_3,54.6854192786564,0.034,[]
72,3,charger_12_1,EV_4,19.986087600560367,0.034,[]
72,4,charger_15_1,,,0.034,['Charging with No EV Connected']
73,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
73,2,charger_10_1,EV_3,54.57506434639316,0.05532,[]
73,3,charger_12_1,EV_4,20.083928658365714,0.05532,[]
73,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
74,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
74,2,charger_10_1,EV_3,54.60191835779038,0.05532,[]
74,3,charger_12_1,EV_4,20.3177294838911,0.05532,[]
74,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
75,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
75,2,charger_10_1,EV_3,54.62861124511922,0.05532,[]
75,3,charger_12_1,EV_4,20.550127504463333,0.05532,[]
75,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
76,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
76,2,charger_10_1,EV_3,54.65514397512408,0.05532,[]
76,3,charger_12_1,EV_4,20.78113113691213,0.05532,[]
76,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
77,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
77,2,charger_10_1,EV_3,54.68151750874892,0.05532,[]
77,3,charger_12_1,EV_4,21.010748747566232,0.05532,[]
77,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
78,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
78,2,charger_10_1,EV_3,54.70773280117201,0.05532,[]
78,3,charger_12_1,EV_4,21.238988652556415,0.05532,[]
78,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
79,1,charger_1_1,,,-0.02,['Discharge During Idle']
79,2,charger_10_1,,,-0.02,['Discharge During Idle']
79,3,charger_12_1,EV_4,21.465859118116654,-0.02,['Charging Power Violation']
79,4,charger_15_1,,,-0.02,['Discharge During Idle']
80,1,charger_1_1,,,-0.02,['Discharge During Idle']
80,2,charger_10_1,,,-0.02,['Discharge During Idle']
80,3,charger_12_1,,,-0.02,['Discharge During Idle']
80,4,charger_15_1,,,-0.02,['Discharge During Idle']
81,1,charger_1_1,,,-0.02,['Discharge During Idle']
81,2,charger_10_1,,,-0.02,['Discharge During Idle']
81,3,charger_12_1,,,-0.02,['Discharge During Idle']
81,4,charger_15_1,,,-0.02,['Discharge During Idle']
82,1,charger_1_1,,,-0.02,['Discharge During Idle']
82,2,charger_10_1,,,-0.02,['Discharge During Idle']
82,3,charger_12_1,,,-0.02,['Discharge During Idle']
82,4,charger_15_1,,,-0.02,['Discharge During Idle']
83,1,charger_1_1,,,-0.02,['Discharge During Idle']
83,2,charger_10_1,,,-0.02,['Discharge During Idle']
83,3,charger_12_1,,,-0.02,['Discharge During Idle']
83,4,charger_15_1,,,-0.02,['Discharge During Idle']
84,1,charger_1_1,,,-0.02,['Discharge During Idle']
84,2,charger_10_1,,,-0.02,['Discharge During Idle']
84,3,charger_12_1,,,-0.02,['Discharge During Idle']
84,4,charger_15_1,,,-0.02,['Discharge During Idle']
85,1,charger_1_1,,,-0.02,['Discharge During Idle']
85,2,charger_10_1,,,-0.02,['Discharge During Idle']
85,3,charger_12_1,,,-0.02,['Discharge During Idle']
85,4,charger_15_1,,,-0.02,['Discharge During Idle']
86,1,charger_1_1,,,-0.02,['Discharge During Idle']
86,2,charger_10_1,,,-0.02,['Discharge During Idle']
86,3,charger_12_1,,,-0.02,['Discharge During Idle']
86,4,charger_15_1,,,-0.02,['Discharge During Idle']
87,1,charger_1_1,,,-0.02,['Discharge During Idle']
87,2,charger_10_1,,,-0.02,['Discharge During Idle']
87,3,charger_12_1,,,-0.02,['Discharge During Idle']
87,4,charger_15_1,,,-0.02,['Discharge During Idle']
88,1,charger_1_1,,,-0.0044,['Discharge During Idle']
88,2,charger_10_1,,,-0.0044,['Discharge During Idle']
88,3,charger_12_1,,,-0.0044,['Discharge During Idle']
88,4,charger_15_1,,,-0.0044,['Discharge During Idle']
89,1,charger_1_1,,,-0.0044,['Discharge During Idle']
89,2,charger_10_1,EV_3,54.78898089865498,-0.0044,['Charging Power Violation']
89,3,charger_12_1,,,-0.0044,['Discharge During Idle']
89,4,charger_15_1,,,-0.0044,['Discharge During Idle']
90,1,charger_1_1,,,-0.0044,['Discharge During Idle']
90,2,charger_10_1,EV_3,57.53171882120048,-0.0044,['Charging Power Violation']
90,3,charger_12_1,EV_4,13.089592381643117,-0.0044,['Charging Power Violation']
90,4,charger_15_1,,,-0.0044,['Discharge During Idle']
91,1,charger_1_1,,,-0.024,['Discharge During Idle']
91,2,charger_10_1,EV_3,57.15257622737327,-0.024,['Charging Power Violation']
91,3,charger_12_1,EV_4,32.89878848730314,-0.024,['Charging Power Violation']
91,4,charger_15_1,,,-0.024,['Discharge During Idle']
92,1,charger_1_1,,,-0.024,['Discharge During Idle']
92,2,charger_10_1,EV_3,56.62446651055442,-0.024,['Charging Power Violation']
92,3,charger_12_1,EV_4,32.51620149692472,-0.024,['Charging Power Violation']
92,4,charger_15_1,,,-0.024,['Discharge During Idle']
93,1,charger_1_1,,,-0.024,['Discharge During Idle']
93,2,charger_10_1,EV_3,56.09952545203649,-0.024,['Charging Power Violation']
93,3,charger_12_1,EV_4,32.13591002848857,-0.024,['Charging Power Violation']
93,4,charger_15_1,,,-0.024,['Discharge During Idle']
94,1,charger_1_1,,,-0.024,['Discharge During Idle']
94,2,charger_10_1,EV_3,55.57773403986966,-0.024,['Charging Power Violation']
94,3,charger_12_1,EV_4,31.757900308863032,-0.024,['Charging Power Violation']
94,4,charger_15_1,,,-0.024,['Discharge During Idle']
95,1,charger_1_1,,,0.034,['Charging with No EV Connected']
95,2,charger_10_1,EV_3,55.05907337617584,0.034,[]
95,3,charger_12_1,EV_4,31.38215864755525,0.034,[]
95,4,charger_15_1,,,0.034,['Charging with No EV Connected']
96,1,charger_1_1,,,0.034,['Charging with No EV Connected']
96,2,charger_10_1,EV_3,54.94647651932749,0.034,[]
96,3,charger_12_1,EV_4,31.41162327907863,0.034,[]
96,4,charger_15_1,,,0.034,['Charging with No EV Connected']
97,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
97,2,charger_10_1,EV_3,54.83455524362023,0.05532,[]
97,3,charger_12_1,EV_4,31.440911122812867,0.05532,[]
97,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
98,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
98,2,charger_10_1,EV_3,54.859852309634086,0.05532,[]
98,3,charger_12_1,EV_4,31.60657005355157,0.05532,[]
98,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
99,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
99,2,charger_10_1,EV_3,54.88499759325186,0.05532,[]
99,3,charger_12_1,EV_4,31.77123503070584,0.05532,[]
99,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
100,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
100,2,charger_10_1,EV_3,54.90999200516793,0.05532,[]
100,3,charger_12_1,EV_4,31.934912017997185,0.05532,[]
100,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
101,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
101,2,charger_10_1,EV_3,54.9348364506125,0.05532,[]
101,3,charger_12_1,EV_4,32.09760694336478,0.05532,[]
101,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
102,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
102,2,charger_10_1,EV_3,54.9595318293844,0.05532,[]
102,3,charger_12_1,EV_4,32.259325699180174,0.05532,[]
102,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
103,1,charger_1_1,,,-0.02,['Discharge During Idle']
103,2,charger_10_1,EV_3,54.984079035883674,-0.02,['Charging Power Violation']
103,3,charger_12_1,,,-0.02,['Discharge During Idle']
103,4,charger_15_1,,,-0.02,['Discharge During Idle']
104,1,charger_1_1,,,-0.02,['Discharge During Idle']
104,2,charger_10_1,,,-0.02,['Discharge During Idle']
104,3,charger_12_1,,,-0.02,['Discharge During Idle']
104,4,charger_15_1,,,-0.02,['Discharge During Idle']
105,1,charger_1_1,,,-0.02,['Discharge During Idle']
105,2,charger_10_1,,,-0.02,['Discharge During Idle']
105,3,charger_12_1,,,-0.02,['Discharge During Idle']
105,4,charger_15_1,,,-0.02,['Discharge During Idle']
106,1,charger_1_1,,,-0.02,['Discharge During Idle']
106,2,charger_10_1,,,-0.02,['Discharge During Idle']
106,3,charger_12_1,,,-0.02,['Discharge During Idle']
106,4,charger_15_1,,,-0.02,['Discharge During Idle']
107,1,charger_1_1,,,-0.02,['Discharge During Idle']
107,2,charger_10_1,,,-0.02,['Discharge During Idle']
107,3,charger_12_1,,,-0.02,['Discharge During Idle']
107,4,charger_15_1,,,-0.02,['Discharge During Idle']
108,1,charger_1_1,,,-0.02,['Discharge During Idle']
108,2,charger_10_1,,,-0.02,['Discharge During Idle']
108,3,charger_12_1,,,-0.02,['Discharge During Idle']
108,4,charger_15_1,,,-0.02,['Discharge During Idle']
109,1,charger_1_1,,,-0.02,['Discharge During Idle']
